vehicle_id,owner_type,sale_type,seller_type,price_unit,source_dealer_id,dealer_login_id,member_email,year,make,model,option,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice,status,auction_key,auction_status,auction_start_time,auction_end_time,created_at,updated_at
DEMO-DEALER-CAR-029,DEALER,NORMAL,회사딜러,KRW,1097,demo_dealer_1097,,2013,Honda,CR-V,열선시트,SUV,자동,충청남도,2.6701,185473,파랑,검정,2779523.11,2860000,REGISTERED,,,,,2026-07-11T12:00:00+09:00,2026-07-11T12:00:00+09:00
DEMO-DEALER-CAR-030,DEALER,NORMAL,회사딜러,KRW,1085,demo_dealer_1085,,2021,Infiniti,G Sedan,,세단,자동,경상남도,3.783,28411,빨강,베이지,18994045.79,20130000,REGISTERED,,,,,2026-04-23T12:00:00+09:00,2026-06-11T12:00:00+09:00
DEMO-DEALER-CAR-032,DEALER,NORMAL,회사딜러,KRW,1080,demo_dealer_1080,,2023,Ford,Taurus,"네비게이션, 통풍시트",세단,자동,경기도,3.5899,67923,진주색,갈색,12537202.99,12160000,REGISTERED,,,,,2026-06-23T12:00:00+09:00,2026-06-23T12:00:00+09:00
DEMO-DEALER-CAR-036,DEALER,NORMAL,회사딜러,KRW,1091,demo_dealer_1091,,2012,Jaguar,XJ-Series,"열선시트, 차체자세제어장치(ESC), 네비게이션, 썬루프, 통풍시트",세단,자동,대구광역시,2.4517,144720,회색,갈색,2466519.24,2610000,REGISTERED,,,,,2026-06-22T12:00:00+09:00,2026-06-22T12:00:00+09:00
DEMO-DEALER-CAR-042,DEALER,NORMAL,회사딜러,KRW,1080,demo_dealer_1080,,2021,Mitsubishi,Lancer,,해치백,자동,경기도,3.219,45812,흰색,베이지,8889447.72,9420000,REGISTERED,,,,,2026-05-14T12:00:00+09:00,2026-06-17T12:00:00+09:00
DEMO-DEALER-CAR-054,DEALER,NORMAL,회사딜러,KRW,1093,demo_dealer_1093,,2018,BMW,3 Series,"네비게이션, 차체자세제어장치(ESC), 열선시트, 통풍시트, 썬루프",세단,자동,부산광역시,3.2737,64792,빨강,베이지,12195861.82,12930000,REGISTERED,,,,,2026-06-15T12:00:00+09:00,2026-06-15T12:00:00+09:00
DEMO-DEALER-CAR-055,DEALER,NORMAL,회사딜러,KRW,1084,demo_dealer_1084,,2015,Nissan,Altima,통풍시트,세단,자동,대전광역시,2.2468,154985,갈색,회색,2868943.68,2700000,REGISTERED,,,,,2026-04-29T12:00:00+09:00,2026-06-10T12:00:00+09:00
DEMO-DEALER-CAR-056,DEALER,NORMAL,회사딜러,KRW,1093,demo_dealer_1093,,2022,Jaguar,XJ,"네비게이션, 열선시트, 차체자세제어장치(ESC), 썬루프, 통풍시트",세단,자동,대구광역시,3.7291,56149,진주색,갈색,35808781.04,34730000,REGISTERED,,,,,2026-04-22T12:00:00+09:00,2026-06-03T12:00:00+09:00
DEMO-DEALER-CAR-059,DEALER,NORMAL,회사딜러,KRW,1094,demo_dealer_1094,,2016,Honda,S2000,"열선시트, 통풍시트",쿠페,수동,충청남도,3.0406,72524,은색,회색,14749451.49,15190000,REGISTERED,,,,,2026-06-28T12:00:00+09:00,2026-06-28T12:00:00+09:00
DEMO-DEALER-CAR-073,DEALER,NORMAL,회사딜러,KRW,1096,demo_dealer_1096,,2022,Mazda,CX-9,열선시트,SUV,자동,인천광역시,3.5839,36685,검정,검정,18014506.92,16930000,REGISTERED,,,,,2026-06-22T12:00:00+09:00,2026-06-22T12:00:00+09:00
DEMO-DEALER-CAR-075,DEALER,NORMAL,회사딜러,KRW,1088,demo_dealer_1088,,2024,Cadillac,CTS,차체자세제어장치(ESC),세단,자동,대전광역시,4.4239,9419,은색,회색,32563888.57,32240000,REGISTERED,,,,,2026-06-22T12:00:00+09:00,2026-06-22T12:00:00+09:00
DEMO-DEALER-CAR-076,DEALER,NORMAL,회사딜러,KRW,1081,demo_dealer_1081,,2022,Mercedes-Benz,C-Class,차체자세제어장치(ESC),세단,자동,대구광역시,3.6376,23614,회색,갈색,22125624.19,22350000,REGISTERED,,,,,2026-06-22T12:00:00+09:00,2026-06-22T12:00:00+09:00
DEMO-DEALER-CAR-081,DEALER,NORMAL,회사딜러,KRW,1086,demo_dealer_1086,,2023,Hyundai,Elantra,"차체자세제어장치(ESC), 썬루프, 네비게이션",해치백,자동,서울특별시,3.7117,27764,검정,검정,11848992.63,11730000,REGISTERED,,,,,2026-04-28T12:00:00+09:00,2026-06-10T12:00:00+09:00
DEMO-DEALER-CAR-083,DEALER,NORMAL,회사딜러,KRW,1081,demo_dealer_1081,,2020,Ford,F-150,"차체자세제어장치(ESC), 네비게이션, 열선시트, 통풍시트, 썬루프",픽업트럭,자동,인천광역시,3.2624,125182,은색,회색,14046319.72,14470000,REGISTERED,,,,,2026-05-03T12:00:00+09:00,2026-06-15T12:00:00+09:00
DEMO-DEALER-CAR-093,DEALER,NORMAL,회사딜러,KRW,1099,demo_dealer_1099,,2022,MINI,Cooper Countryman,"네비게이션, 썬루프, 열선시트",SUV,자동,인천광역시,4.0194,38420,파랑,검정,17131576.49,16960000,REGISTERED,,,,,2026-06-21T12:00:00+09:00,2026-06-21T12:00:00+09:00
DEMO-DEALER-CAR-097,DEALER,NORMAL,회사딜러,KRW,1083,demo_dealer_1083,,2021,BMW,3 Series,"네비게이션, 썬루프, 열선시트, 차체자세제어장치(ESC)",세단,자동,광주광역시,3.8046,37196,검정,검정,20416222.17,19190000,REGISTERED,,,,,2026-05-19T12:00:00+09:00,2026-06-16T12:00:00+09:00
DEMO-MEMBER-CAR-001,MEMBER,AUCTION,일반회원,KRW,,,testuser1@naver.com,2024,Hyundai,Sonata,"네비게이션, 차체자세제어장치(ESC), 통풍시트, 후방카메라",세단,자동,부산광역시,3.6864,19422,회색,베이지,15013082.01,12760000,REGISTERED,DEMO-AUCTION-001,ACTIVE,2026-07-27T09:00:00+09:00,2026-07-30T09:00:00+09:00,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
DEMO-MEMBER-CAR-002,MEMBER,AUCTION,일반회원,KRW,,,testuser2@naver.com,2022,Kia,Sorento,"차체자세제어장치(ESC), 스마트키",SUV,자동,대전광역시,4.2312,11782,파랑,회색,17210405.32,14970000,REGISTERED,DEMO-AUCTION-002,ACTIVE,2026-07-27T09:10:00+09:00,2026-07-30T09:10:00+09:00,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
DEMO-MEMBER-CAR-003,MEMBER,AUCTION,일반회원,KRW,,,testuser3@naver.com,2022,Toyota,Camry,"차체자세제어장치(ESC), 통풍시트, 후방카메라",세단,자동,대구광역시,4.1198,4952,빨강,갈색,15512457.92,13650000,REGISTERED,DEMO-AUCTION-003,ACTIVE,2026-07-27T09:20:00+09:00,2026-07-30T09:20:00+09:00,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
DEMO-MEMBER-CAR-004,MEMBER,AUCTION,일반회원,KRW,,,testuser4@naver.com,2022,Honda,Accord,"썬루프, 통풍시트, 차체자세제어장치(ESC), 스마트키",세단,자동,광주광역시,3.4924,29964,갈색,검정,13848457.61,12330000,REGISTERED,DEMO-AUCTION-004,ACTIVE,2026-07-27T09:30:00+09:00,2026-07-30T09:30:00+09:00,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
DEMO-MEMBER-CAR-005,MEMBER,AUCTION,일반회원,KRW,,,testuser5@naver.com,2018,BMW,3 Series,"네비게이션, 차체자세제어장치(ESC), 열선시트, 통풍시트, 썬루프",세단,자동,울산광역시,3.2505,68392,진주색,베이지,12226170.01,11000000,REGISTERED,DEMO-AUCTION-005,ACTIVE,2026-07-27T09:40:00+09:00,2026-07-30T09:40:00+09:00,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
DEMO-MEMBER-CAR-006,MEMBER,AUCTION,일반회원,KRW,,,testuser6@naver.com,2022,Mercedes-Benz,C-Class,"차체자세제어장치(ESC), 스마트키",세단,자동,충청남도,3.6627,20014,검정,회색,22929014.08,20870000,REGISTERED,DEMO-AUCTION-006,ACTIVE,2026-07-27T09:50:00+09:00,2026-07-30T09:50:00+09:00,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
DEMO-MEMBER-CAR-007,MEMBER,AUCTION,일반회원,KRW,,,testuser7@naver.com,2024,Volkswagen,Passat,"썬루프, 열선시트, 차체자세제어장치(ESC), 후방카메라",세단,자동,경상남도,3.8027,34957,흰색,갈색,14293579.91,13150000,REGISTERED,DEMO-AUCTION-007,ACTIVE,2026-07-27T10:00:00+09:00,2026-07-30T10:00:00+09:00,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
DEMO-MEMBER-CAR-008,MEMBER,AUCTION,일반회원,KRW,,,testuser8@naver.com,2022,Nissan,Rogue,"차체자세제어장치(ESC), 스마트키",SUV,자동,서울특별시,3.8124,31705,은색,검정,15183705.53,14120000,REGISTERED,DEMO-AUCTION-008,ACTIVE,2026-07-27T10:10:00+09:00,2026-07-30T10:10:00+09:00,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
DEMO-MEMBER-CAR-009,MEMBER,AUCTION,일반회원,KRW,,,testuser9@naver.com,2022,Chevrolet,Cruze,"썬루프, 열선시트, 통풍시트, 네비게이션, 차체자세제어장치(ESC)",세단,자동,경기도,3.2632,70449,회색,베이지,8357815.11,7190000,REGISTERED,DEMO-AUCTION-009,ACTIVE,2026-07-27T10:20:00+09:00,2026-07-30T10:20:00+09:00,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
DEMO-MEMBER-CAR-010,MEMBER,AUCTION,일반회원,KRW,,,testuser10@naver.com,2018,Ford,Escape,"네비게이션, 통풍시트, 썬루프, 열선시트, 차체자세제어장치(ESC)",SUV,자동,인천광역시,3.0838,101795,파랑,회색,6253811.18,5570000,REGISTERED,DEMO-AUCTION-010,ACTIVE,2026-07-27T10:30:00+09:00,2026-07-30T10:30:00+09:00,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
